date,morgens,mittags,abends,snacks,water,workout,sleep
2025-09-23,Müsli mit Joghurt,Leberkäse mit Reis,Kartoffelpüre mit Rührei,Joghurt,2000,1,8.0
2025-09-23,Müsli mit Joghurt,Leberkäse mit Reis,Kartoffelpüre mit Rührei,Joghurt,2000,1,8.0
